"Commuting destination by main mode of commuting, age and gender: Canada, provinces and territories, census divisions and census subdivisions"
"Frequency: Occasional"
"Table: 98-10-0462-01"
"Release date: 2022-11-30"
"Geography: Canada, Province or territory, Census division, Census subdivision"
"Universe: Employed labour force aged 15 years and over having a usual place of work, in private households, 2021 Census — 25% Sample data"
"Variable List: Main mode of commuting (11A), Age (15A), Gender (3), Statistics (3), Commuting destination (5)"

,"Age (15A) 1","15 to 24 years",,,,
,"Driver with 1 or more workers","105","30","70","10","0"
,"Passenger with 2 or more workers","245","50","135","70","0"
,"Sustainable transportation","420","280","100","40","0"
,"Public transit","70","15","40","15","0"
,"Active transportation","350","265","60","20","0"
,"Other method","55","25","10","10","0"
"Nanaimo i4816","Total - Main mode of commuting 6","6,560","4,755","1,425","355","20"
,"Car, truck or van","5,370","3,725","1,335","300","0"
,"Driver (only worker in vehicle)","3,965","2,725","985","250","0"
,"Passenger (only worker in vehicle)","880","655","210","20","0"
,"2 or more persons shared the ride to work","525","345","150","35","0"
,"Driver with 1 or more workers","135","105","20","0","0"
,"Passenger with 2 or more workers","390","240","125","25","0"
,"Sustainable transportation","1,130","1,005","75","40","0"
,"Public transit","525","440","55","30","0"
,"Active transportation","605","565","20","15","0"
,"Other method","60","20","15","10","10"
"Alberni-Clayoquot i4832","Total - Main mode of commuting 6","1,210","740","340","115","0"
,"Car, truck or van","945","535","320","95","0"
,"Driver (only worker in vehicle)","680","375","230","80","0"
,"Passenger (only worker in vehicle)","155","105","45","0","0"
,"2 or more persons shared the ride to work","105","55","40","10","0"
,"Driver with 1 or more workers","35","15","20","0","0"
,"Passenger with 2 or more workers","70","40","25","10","0"
,"Sustainable transportation","235","195","15","25","0"
,"Public transit","25","10","0","10","0"
,"Active transportation","215","185","15","15","0"
,"Other method","25","20","10","0","0"
"Strathcona i4859","Total - Main mode of commuting 6","1,665","1,180","290","190","0"
,"Car, truck or van","1,415","985","270","160","0"
,"Driver (only worker in vehicle)","935","640","160","130","0"
,"Passenger (only worker in vehicle)","255","165","70","15","0"
,"2 or more persons shared the ride to work","225","175","35","20","0"
,"Driver with 1 or more workers","65","60","10","0","0"
,"Passenger with 2 or more workers","160","120","20","20","0"
,"Sustainable transportation","230","190","15","20","0"
,"Public transit","105","80","10","10","0"
,"Active transportation","125","105","0","15","0"
,"Other method","25","15","0","0","0"
"Comox Valley i4884","Total - Main mode of commuting 6","2,410","1,105","1,035","245","20"
,"Car, truck or van","1,895","760","925","210","0"
,"Driver (only worker in vehicle)","1,290","520","600","165","0"
,"Passenger (only worker in vehicle)","345","145","180","25","0"
,"2 or more persons shared the ride to work","260","95","140","20","0"
,"Driver with 1 or more workers","60","20","30","10","0"
,"Passenger with 2 or more workers","200","80","110","10","0"
,"Sustainable transportation","490","325","110","35","20"
,"Public transit","140","70","65","0","0"
,"Active transportation","345","260","50","25","10"
,"Other method","30","20","0","0","0"
"Powell River i4893","Total - Main mode of commuting 6","620","445","140","35","0"
,"Car, truck or van","495","340","135","25","0"
,"Driver (only worker in vehicle)","335","220","100","15","0"
,"Passenger (only worker in vehicle)","90","60","20","0","0"
,"2 or more persons shared the ride to work","70","50","15","10","0"
,"Driver with 1 or more workers","25","25","0","0","0"
,"Passenger with 2 or more workers","45","25","10","10","0"
,"Sustainable transportation","105","90","0","10","0"
,"Public transit","35","35","0","0","0"
,"Active transportation","70","60","0","10","0"
,"Other method","20","20","0","0","0"
"Sunshine Coast i4902","Total - Main mode of commuting 6","885","385","450","60","0"
,"Car, truck or van","625","285","310","30","0"
,"Driver (only worker in vehicle)","410","160","220","30","0"
,"Passenger (only worker in vehicle)","140","75","65","0","0"
,"2 or more persons shared the ride to work","70","45","25","0","0"
,"Driver with 1 or more workers","15","0","10","0","0"
,"Passenger with 2 or more workers","55","40","10","0","0"
,"Sustainable transportation","220","75","125","20","0"
,"Public transit","85","15","50","20","0"
,"Active transportation","135","60","75","0","0"
,"Other method","40","25","10","10","0"
"Squamish-Lillooet i4912","Total - Main mode of commuting 6","1,810","1,370","265","150","20"
,"Car, truck or van","1,160","805","230","120","0"
,"Driver (only worker in vehicle)","740","520","135","75","0"
,"Passenger (only worker in vehicle)","205","150","40","10","0"
,"2 or more persons shared the ride to work","215","135","55","25","0"
,"Driver with 1 or more workers","95","70","15","10","0"
,"Passenger with 2 or more workers","115","65","35","20","0"
,"Sustainable transportation","645","565","30","30","15"
,"Public transit","225","190","15","15","0"
,"Active transportation","420","375","15","20","0"
,"Other method","10","0","0","0","0"
"Thompson-Nicola i4952","Total - Main mode of commuting 6","6,435","5,205","1,005","185","45"
,"Car, truck or van","5,125","3,980","950","150","45"
,"Driver (only worker in vehicle)","3,755","2,860","750","110","30"
,"Passenger (only worker in vehicle)","750","675","70","0","0"
,"2 or more persons shared the ride to work","615","440","130","35","10"
,"Driver with 1 or more workers","235","170","55","20","0"
,"Passenger with 2 or more workers","375","275","80","10","10"
,"Sustainable transportation","1,270","1,195","55","20","0"
,"Public transit","710","680","20","10","0"
,"Active transportation","560","515","35","10","0"
,"Other method","40","35","0","10","0"
"Central Okanagan i5047","Total - Main mode of commuting 6","11,200","8,465","2,285","380","70"
,"Car, truck or van","8,875","6,445","2,045","345","45"
,"Driver (only worker in vehicle)","6,805","4,935","1,570","265","30"
,"Passenger (only worker in vehicle)","1,290","1,010","270","10","0"
,"2 or more persons shared the ride to work","775","495","205","65","10"
,"Driver with 1 or more workers","240","135","85","20","0"
,"Passenger with 2 or more workers","540","365","120","45","10"
,"Sustainable transportation","2,150","1,900","195","30","30"
,"Public transit","1,060","885","140","25","15"
,"Active transportation","1,090","1,015","55","0","15"
,"Other method","180","125","45","10","0"
"North Okanagan i5057","Total - Main mode of commuting 6","3,650","1,830","1,390","405","25"
,"Car, truck or van","3,110","1,420","1,325","355","20"
,"Driver (only worker in vehicle)","2,185","920","955","295","20"
,"Passenger (only worker in vehicle)","520","315","190","10","0"
,"2 or more persons shared the ride to work","410","185","175","50","0"
,"Driver with 1 or more workers","110","45","45","20","0"
,"Passenger with 2 or more workers","295","135","125","30","0"
,"Sustainable transportation","485","370","65","50","0"
,"Public transit","90","40","15","35","0"
,"Active transportation","400","330","50","15","0"
,"Other method","55","35","0","0","10"
"Columbia-Shuswap i5073","Total - Main mode of commuting 6","1,960","1,280","455","185","40"
,"Car, truck or van","1,595","995","410","160","25"
,"Driver (only worker in vehicle)","1,075","650","275","125","25"
,"Passenger (only worker in vehicle)","245","180","45","20","0"
,"2 or more persons shared the ride to work","270","165","90","15","0"
,"Driver with 1 or more workers","85","55","20","0","0"
,"Passenger with 2 or more workers","190","110","70","10","0"
,"Sustainable transportation","355","275","45","25","10"
,"Public transit","10","0","0","0","0"
,"Active transportation","345","270","45","25","0"
,"Other method","10","10","0","0","0"
"Cariboo i5093","Total - Main mode of commuting 6","2,355","1,145","1,050","155","10"
,"Car, truck or van","2,085","995","975","110","10"
,"Driver (only worker in vehicle)","1,425","665","675","80","0"
,"Passenger (only worker in vehicle)","330","180","135","15","0"
,"2 or more persons shared the ride to work","330","145","170","10","0"
,"Driver with 1 or more workers","80","45","40","0","0"
,"Passenger with 2 or more workers","250","100","130","10","0"
,"Sustainable transportation","245","145","60","40","0"
,"Public transit","55","15","20","25","0"
,"Active transportation","195","135","45","15","0"
,"Other method","25","0","15","0","0"
"Mount Waddington i5164","Total - Main mode of commuting 6","380","275","80","20","0"
,"Car, truck or van","275","190","70","10","0"
,"Driver (only worker in vehicle)","185","115","50","10","0"
,"Passenger (only worker in vehicle)","60","55","10","0","0"
,"2 or more persons shared the ride to work","30","20","10","0","0"
,"Driver with 1 or more workers","0","0","0","0","0"
,"Passenger with 2 or more workers","25","15","10","0","0"
,"Sustainable transportation","100","90","0","10","0"
,"Public transit","0","0","0","0","0"
,"Active transportation","95","80","0","10","0"
,"Other method","0","0","10","0","0"
"Central Coast i5186","Total - Main mode of commuting 6","90","50","35","0","0"
,"Car, truck or van","60","25","30","0","0"
,"Driver (only worker in vehicle)","20","10","10","10","0"
,"Passenger (only worker in vehicle)","10","10","0","0","0"
,"2 or more persons shared the ride to work","30","10","15","0","0"
,"Driver with 1 or more workers","10","0","10","0","0"
,"Passenger with 2 or more workers","15","10","10","0","0"
,"Sustainable transportation","25","25","0","0","0"
,"Public transit","0","0","0","0","0"
,"Active transportation","25","25","0","0","0"
,"Other method","0","0","0","0","0"
"Skeena-Queen Charlotte i5194","Total - Main mode of commuting 6","760","600","85","70","0"
,"Car, truck or van","545","440","55","50","0"
,"Driver (only worker in vehicle)","350","285","30","40","0"
,"Passenger (only worker in vehicle)","75","65","10","0","0"
,"2 or more persons shared the ride to work","115","90","15","15","0"
,"Driver with 1 or more workers","10","10","0","0","0"
,"Passenger with 2 or more workers","105","80","15","15","0"
,"Sustainable transportation","185","145","20","20","0"
,"Public transit","35","25","10","10","0"
,"Active transportation","145","120","15","15","0"
,"Other method","35","20","10","0","0"
"Kitimat-Stikine i5212","Total - Main mode of commuting 6","1,680","1,160","370","140","10"
,"Car, truck or van","1,440","970","350","120","10"
,"Driver (only worker in vehicle)","1,065","705","250","95","10"
,"Passenger (only worker in vehicle)","175","105","65","0","0"
,"2 or more persons shared the ride to work","200","155","30","10","0"
,"Driver with 1 or more workers","45","40","0","10","0"
,"Passenger with 2 or more workers","150","115","30","0","0"
,"Sustainable transportation","230","185","20","20","0"
,"Public transit","40","15","10","20","0"
,"Active transportation","185","170","10","0","0"
,"Other method","10","0","0","0","0"
"Bulkley-Nechako i5248","Total - Main mode of commuting 6","1,780","960","755","50","15"
,"Car, truck or van","1,490","740","690","50","10"
,"Driver (only worker in vehicle)","1,085","550","475","50","10"
,"Passenger (only worker in vehicle)","180","110","70","0","0"
,"2 or more persons shared the ride to work","225","75","150","0","0"
,"Driver with 1 or more workers","100","40","60","0","0"
,"Passenger with 2 or more workers","125","40","90","0","0"
,"Sustainable transportation","270","220","50","0","0"
,"Public transit","15","10","0","0","0"
,"Active transportation","255","210","45","0","0"
,"Other method","20","0","15","0","0"
"Fraser-Fort George i5300","Total - Main mode of commuting 6","5,050","4,370","545","110","25"
,"Car, truck or van","4,240","3,620","515","90","20"
,"Driver (only worker in vehicle)","3,270","2,760","430","70","15"
,"Passenger (only worker in vehicle)","565","525","35","10","0"
,"2 or more persons shared the ride to work","405","335","50","10","0"
,"Driver with 1 or more workers","160","120","35","10","0"
,"Passenger with 2 or more workers","250","220","20","0","0"
,"Sustainable transportation","765","720","25","20","0"
,"Public transit","405","365","10","15","0"
,"Active transportation","365","350","15","0","0"
,"Other method","40","35","0","0","0"
"Peace River i5314","Total - Main mode of commuting 6","3,155","1,990","835","290","35"
,"Car, truck or van","2,810","1,685","830","270","25"
,"Driver (only worker in vehicle)","2,055","1,180","630","220","25"
,"Passenger (only worker in vehicle)","350","240","85","25","0"
,"2 or more persons shared the ride to work","405","260","120","25","0"
,"Driver with 1 or more workers","115","65","35","10","0"
,"Passenger with 2 or more workers","295","200","80","15","0"
,"Sustainable transportation","325","295","0","20","0"
,"Public transit","15","15","0","0","0"
,"Active transportation","305","280","0","20","0"
,"Other method","20","15","0","0","0"
"Stikine i5335","Total - Main mode of commuting 6","15","0","0","0","0"
,"Car, truck or van","15","0","0","0","0"
,"Driver (only worker in vehicle)","10","0","0","0","0"
,"Passenger (only worker in vehicle)","10","0","0","0","0"
,"2 or more persons shared the ride to work","0","0","0","0","0"
,"Driver with 1 or more workers","0","0","0","0","0"
,"Passenger with 2 or more workers","0","0","0","0","0"
,"Sustainable transportation","0","0","0","0","0"
,"Public transit","0","0","0","0","0"
,"Active transportation","0","0","0","0","0"
,"Other method","0","0","0","0","0"
"Northern Rockies i5343","Total - Main mode of commuting 6","210","190","10","10","0"
,"Car, truck or van","185","170","10","10","0"
,"Driver (only worker in vehicle)","150","140","0","10","0"
,"Passenger (only worker in vehicle)","0","0","0","0","0"
,"2 or more persons shared the ride to work","25","25","10","0","0"
,"Driver with 1 or more workers","0","0","0","0","0"
,"Passenger with 2 or more workers","25","25","10","0","0"
,"Sustainable transportation","20","20","0","0","0"
,"Public transit","0","0","0","0","0"
,"Active transportation","20","20","0","0","0"
,"Other method","0","0","0","0","0"


Abbreviation notes:

List of abbreviations and acronyms found within various Census products.
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm)



iBall:
i4569,"Geography name: East Kootenay; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035901; Alternative geographic code: 5901; Province or territory geocode: 59; Long-form total non-response rate: 7.9; Data quality flag: 00000; Data quality note: ..."
i4591,"Geography name: Central Kootenay; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035903; Alternative geographic code: 5903; Province or territory geocode: 59; Long-form total non-response rate: 5.7; Data quality flag: 00000; Data quality note: ..."
i4613,"Geography name: Kootenay Boundary; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035905; Alternative geographic code: 5905; Province or territory geocode: 59; Long-form total non-response rate: 8.2; Data quality flag: 00000; Data quality note: ..."
i4627,"Geography name: Okanagan-Similkameen; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035907; Alternative geographic code: 5907; Province or territory geocode: 59; Long-form total non-response rate: 5.9; Data quality flag: 00000; Data quality note: ..."
i4652,"Geography name: Fraser Valley; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035909; Alternative geographic code: 5909; Province or territory geocode: 59; Long-form total non-response rate: 5.0; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."
i4718,"Geography name: Greater Vancouver; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035915; Alternative geographic code: 5915; Province or territory geocode: 59; Long-form total non-response rate: 3.9; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."
i4757,"Geography name: Capital; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035917; Alternative geographic code: 5917; Province or territory geocode: 59; Long-form total non-response rate: 4.3; Data quality flag: 00000; Data quality note: ..."
i4785,"Geography name: Cowichan Valley; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035919; Alternative geographic code: 5919; Province or territory geocode: 59; Long-form total non-response rate: 4.6; Data quality flag: 00000; Data quality note: ..."
i4816,"Geography name: Nanaimo; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035921; Alternative geographic code: 5921; Province or territory geocode: 59; Long-form total non-response rate: 3.8; Data quality flag: 00000; Data quality note: ..."
i4832,"Geography name: Alberni-Clayoquot; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035923; Alternative geographic code: 5923; Province or territory geocode: 59; Long-form total non-response rate: 6.2; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."
i4859,"Geography name: Strathcona; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035924; Alternative geographic code: 5924; Province or territory geocode: 59; Long-form total non-response rate: 4.5; Data quality flag: 00000; Data quality note: ..."
i4884,"Geography name: Comox Valley; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035926; Alternative geographic code: 5926; Province or territory geocode: 59; Long-form total non-response rate: 2.9; Data quality flag: 00000; Data quality note: ..."
i4893,"Geography name: Powell River; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035927; Alternative geographic code: 5927; Province or territory geocode: 59; Long-form total non-response rate: 6.8; Data quality flag: 00000; Data quality note: ..."
i4902,"Geography name: Sunshine Coast; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035929; Alternative geographic code: 5929; Province or territory geocode: 59; Long-form total non-response rate: 7.1; Data quality flag: 00000; Data quality note: ..."
i4912,"Geography name: Squamish-Lillooet; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035931; Alternative geographic code: 5931; Province or territory geocode: 59; Long-form total non-response rate: 17.1; Data quality flag: 01010; Data quality note: ..."
i4952,"Geography name: Thompson-Nicola; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035933; Alternative geographic code: 5933; Province or territory geocode: 59; Long-form total non-response rate: 7.5; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."
i5047,"Geography name: Central Okanagan; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035935; Alternative geographic code: 5935; Province or territory geocode: 59; Long-form total non-response rate: 5.8; Data quality flag: 00000; Data quality note: ..."
i5057,"Geography name: North Okanagan; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035937; Alternative geographic code: 5937; Province or territory geocode: 59; Long-form total non-response rate: 5.1; Data quality flag: 00000; Data quality note: ..."
i5073,"Geography name: Columbia-Shuswap; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035939; Alternative geographic code: 5939; Province or territory geocode: 59; Long-form total non-response rate: 7.8; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."
i5093,"Geography name: Cariboo; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035941; Alternative geographic code: 5941; Province or territory geocode: 59; Long-form total non-response rate: 6.1; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."
i5164,"Geography name: Mount Waddington; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035943; Alternative geographic code: 5943; Province or territory geocode: 59; Long-form total non-response rate: 9.4; Data quality flag: 00000; Data quality note: ..."
i5186,"Geography name: Central Coast; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035945; Alternative geographic code: 5945; Province or territory geocode: 59; Long-form total non-response rate: 13.8; Data quality flag: 01010; Data quality note: ..."
i5194,"Geography name: Skeena-Queen Charlotte; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035947; Alternative geographic code: 5947; Province or territory geocode: 59; Long-form total non-response rate: 10.3; Data quality flag: 20010; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."
i5212,"Geography name: Kitimat-Stikine; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035949; Alternative geographic code: 5949; Province or territory geocode: 59; Long-form total non-response rate: 7.6; Data quality flag: 00000; Data quality note: ..."
i5248,"Geography name: Bulkley-Nechako; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035951; Alternative geographic code: 5951; Province or territory geocode: 59; Long-form total non-response rate: 11.9; Data quality flag: 20010; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."
i5300,"Geography name: Fraser-Fort George; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035953; Alternative geographic code: 5953; Province or territory geocode: 59; Long-form total non-response rate: 5.8; Data quality flag: 00000; Data quality note: ..."
i5314,"Geography name: Peace River; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035955; Alternative geographic code: 5955; Province or territory geocode: 59; Long-form total non-response rate: 11.1; Data quality flag: 00010; Data quality note: ..."
i5335,"Geography name: Stikine; Geographic area type: Region; Geographic area type abbreviation: REG; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035957; Alternative geographic code: 5957; Province or territory geocode: 59; Long-form total non-response rate: 21.0; Data quality flag: 01020; Data quality note: ..."
i5343,"Geography name: Northern Rockies; Geographic area type: Regional district; Geographic area type abbreviation: RD; Geographic level: Census division; Province or territory abbreviation: B.C.; Dissemination Geography Unique Identifier (DGUID): 2021A00035959; Alternative geographic code: 5959; Province or territory geocode: 59; Long-form total non-response rate: 18.0; Data quality flag: 01010; Data quality note: ..."



Footnotes:
1,"Age    'Age' refers to the age of a person (or subject) of interest at last birthday (or relative to a specified, well-defined reference date)."
